and array begin boolean do else end false float-lit identificador if integer int-lit of or program real then true var while >= > = <> <= < + ] [ ; : / .. . , * ) ( - 


and! UM COMENTÁRIOAS !@#@%237908723412!@$!@sdlsdjhf 
of! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
or! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
program! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
real! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
then! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
true! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
var! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
while! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
>=! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
>! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
=! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
<>! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
<=! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
<! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
+! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
]! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
[! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
;! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
:! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
/! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
..! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
.! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
,! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
*! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
)! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
(! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
-! UM COMENTÁRIO QUALQUER ßñ©æíáíé®í²³ú¤‘¡³ú‘¡²‘³¡‘¤¡’³¶óáðóóö¡!@#@%237908723412!@$!@sdlsdjhf 
